stage	old_path	canonical_path	responsibility	status
2	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/fixed_o2_ploidy_monotonicity.R	oxygen/code/O2_supply_demand_MAP/simulation/o2/dense_grid/generate_dense_grid_simulation_tables.R	dense fixed-O2 attractor numerical production	deprecated-compatibility-wrapper
2	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/plot_objective_by_curve_class.R	oxygen/code/O2_supply_demand_MAP/vis/dense_grid_monotonicity/render_dense_grid_figures.R	dense-grid figures from analysis tables	deprecated-compatibility-wrapper
2	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/04_combine_parameter_landscape/plot_pooled_embedding_curve_class.R	oxygen/code/O2_supply_demand_MAP/vis/combined_parameter_landscape/render_combined_parameter_landscape_figures.R	combined embedding figures from annotated coordinates	deprecated-compatibility-wrapper
2	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/04_combine_parameter_landscape/render_pooled_embedding_curve_class_report.R	oxygen/code/O2_supply_demand_MAP/report/combined_parameter_landscape/render_combined_parameter_landscape_report.R	combined embedding HTML assembly	deprecated-compatibility-wrapper
2	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/05_FixO2_eigen_attractor_based_clustering/fixo2_eigen_attractor_clustering_runner.R	oxygen/code/O2_supply_demand_MAP/vis/fixed_o2_eigen/render_fixo2_eigen_attractor_figures.R	fixed-O2 eigen embedding and cluster figures	split
2	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/05_FixO2_eigen_attractor_based_clustering/fixo2_eigen_attractor_feature_builder.R	oxygen/code/O2_supply_demand_MAP/simulation/o2/fixed_o2/eigen_attractor/build_fixo2_eigen_attractor_features.R	fitted-parameter fixed-O2 eigen-attractor numerical feature production	deprecated-compatibility-wrapper
2	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/05_FixO2_eigen_attractor_based_clustering/fixo2_eigen_attractor_report.R	oxygen/code/O2_supply_demand_MAP/report/fixed_o2_eigen/render_fixo2_eigen_attractor_report.R	fixed-O2 eigen HTML assembly	deprecated-compatibility-wrapper
2	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/collect_best_separate_fit_reports.py	oxygen/code/O2_supply_demand_MAP/report/fit_results/collect_best_separate_fit_reports.py	top-fit HTML collection and ranking CSV assembly	deprecated-compatibility-wrapper
2	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/compare_joint_sigma_soft_coupled_paired_seeds.R	oxygen/code/O2_supply_demand_MAP/report/fit_results/render_joint_sigma_soft_coupled_paired_seeds_report.R	paired-sigma HTML assembly	split
2	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/compare_joint_sigma_soft_coupled_paired_seeds.R	oxygen/code/O2_supply_demand_MAP/vis/fit_results/plot_joint_sigma_soft_coupled_paired_seeds.R	paired-sigma comparison figures	split
2	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/compare_sigma_burden_extra_results.R	oxygen/code/O2_supply_demand_MAP/vis/fit_results/plot_sigma_burden_extra_results.R	sigma-burden comparison figures	split
2	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/extra_results_report.R	oxygen/code/O2_supply_demand_MAP/report/fit_results/render_extra_results_report.R	extra-results HTML assembly	deprecated-compatibility-wrapper
2	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/extra_results.R	oxygen/code/O2_supply_demand_MAP/simulation/fit_results/materialize_extra_results_predictions.R	materialize fitted-seed ploidy and burden prediction values	split
2	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/extra_results.R	oxygen/code/O2_supply_demand_MAP/vis/fit_results/plot_extra_results.R	fit-result diagnostic figures from materialized tables	split
2	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/plot_extra_results_objective_violin.R	oxygen/code/O2_supply_demand_MAP/vis/fit_results/plot_extra_results_objective_violin.R	objective-component violin visualization	deprecated-compatibility-wrapper
2	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/select_invivo_best_long_ploidy_seed.R	oxygen/code/O2_supply_demand_MAP/simulation/fit_results/materialize_invivo_long_ploidy_metrics.R	per-seed fitted long-horizon ploidy values	split
2	oxygen/code/O2_supply_demand_MAP/analysis/fixed_o2/FixO2_invivo.R	oxygen/code/O2_supply_demand_MAP/report/fixed_o2/render_fixed_o2_report.R	fixed-O2 HTML assembly from materialized tables and figures	split
2	oxygen/code/O2_supply_demand_MAP/analysis/fixed_o2/FixO2_invivo.R	oxygen/code/O2_supply_demand_MAP/simulation/o2/fixed_o2/fixed_o2_numerical_producers.R	fixed-O2 attractor, counterfactual, analytical, eigen, expm, Euler, and trajectory-table production	split
2	oxygen/code/O2_supply_demand_MAP/analysis/fixed_o2/FixO2_invivo.R	oxygen/code/O2_supply_demand_MAP/vis/fixed_o2/render_fixed_o2_figures.R	fixed-O2 attractor, counterfactual, validation, and agreement figures	split
2	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/build_multi_warmup_pairs_from_landscape_subclusters.R	oxygen/code/O2_supply_demand_MAP/vis/multi_warmup/render_multi_warmup_landscape_figures.R	landscape cluster and subcluster figures	split
2	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/build_multi_warmup_seed_plan.R	oxygen/code/O2_supply_demand_MAP/vis/multi_warmup/render_multi_warmup_seed_plan_figures.R	multi-warmup seed-plan figures	split
2	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/collect_multi_warmup_results.R	oxygen/code/O2_supply_demand_MAP/vis/multi_warmup/render_multi_warmup_collected_figures.R	multi-warmup collected-result figures	split
2	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/multi_warmup_results_report.R	oxygen/code/O2_supply_demand_MAP/report/multi_warmup/render_multi_warmup_results_report.R	multi-warmup HTML assembly	deprecated-compatibility-wrapper
2	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/multi_warmup_results_report.R	oxygen/code/O2_supply_demand_MAP/vis/multi_warmup/render_multi_warmup_report_figures.R	multi-warmup report figure rendering	split
2	oxygen/code/O2_supply_demand_MAP/analysis/warm_up_joint_fitting_results_extra/warm_up_joint_fitting_results_extra.R	oxygen/code/O2_supply_demand_MAP/vis/multi_warmup/render_warm_up_joint_figures.R	warm-up joint embedding and curve-class figures	split
2	oxygen/code/O2_supply_demand_MAP/report/render_fit_report.R	oxygen/code/O2_supply_demand_MAP/vis/joint/plot_invivo_invitro_comparison.R	joint in-vivo versus in-vitro functional-response figures	extracted
2	oxygen/code/O2_supply_demand_MAP/simulation/simulate_invivo_factorial_interaction.R	oxygen/code/O2_supply_demand_MAP/analysis/interactions/analyze_factorial_interactions.R	factorial endpoint and interaction analysis	split
2	oxygen/code/O2_supply_demand_MAP/simulation/simulate_invivo_factorial_interaction.R	oxygen/code/O2_supply_demand_MAP/simulation/perturbation/generate_factorial_interaction_outputs.R	factorial perturbation trajectory production	compatibility-wrapper
2	oxygen/code/O2_supply_demand_MAP/simulation/simulate_invivo_factorial_interaction.R	oxygen/code/O2_supply_demand_MAP/vis/interactions/plot_factorial_interactions.R	factorial interaction figures	split
2	oxygen/code/O2_supply_demand_MAP/simulation/simulate_invivo_mixed_ploidy_perturbations.R	oxygen/code/O2_supply_demand_MAP/analysis/perturbation/analyze_mixed_ploidy_perturbations.R	mixed-ploidy endpoint analysis	split
2	oxygen/code/O2_supply_demand_MAP/simulation/simulate_invivo_mixed_ploidy_perturbations.R	oxygen/code/O2_supply_demand_MAP/simulation/perturbation/generate_mixed_ploidy_perturbation_outputs.R	mixed-ploidy perturbation trajectory production	compatibility-wrapper
2	oxygen/code/O2_supply_demand_MAP/simulation/simulate_invivo_mixed_ploidy_perturbations.R	oxygen/code/O2_supply_demand_MAP/vis/perturbation/plot_mixed_ploidy_perturbations.R	mixed-ploidy figures	split
2	oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_joint_parameter_plot.R	oxygen/code/O2_supply_demand_MAP/analysis/fit_diagnostics/run_joint_parameter_diagnostics.R	joint parameter-ratio table materialization	split
2	oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_joint_parameter_plot.R	oxygen/code/O2_supply_demand_MAP/vis/joint/plot_joint_parameter_ratios.R	joint parameter-ratio figures	split
2	oxygen/code/O2_supply_demand_MAP/vis/viz_invitro_model_O2_supply_demand_MAP_results.R	oxygen/code/O2_supply_demand_MAP/analysis/fit_diagnostics/run_invitro_fit_diagnostics.R	in-vitro optimizer-population diagnostics	split
2	oxygen/code/O2_supply_demand_MAP/vis/viz_invitro_model_O2_supply_demand_MAP_results.R	oxygen/code/O2_supply_demand_MAP/simulation/invitro/run_invitro_simulation_outputs.R	fitted-parameter in-vitro table production	split
2	oxygen/code/O2_supply_demand_MAP/vis/viz_invitro_model_O2_supply_demand_MAP_results.R	oxygen/code/O2_supply_demand_MAP/vis/viz_invitro_model_O2_supply_demand_MAP_results.R	pure in-vitro visualization consumer	split-in-place
2	oxygen/code/O2_supply_demand_MAP/vis/viz_invivo_model_O2_supply_demand_MAP_results.R	oxygen/code/O2_supply_demand_MAP/simulation/invivo/generate_invivo_simulation_outputs.R	fitted-parameter in-vivo table production	split
2	oxygen/code/O2_supply_demand_MAP/vis/viz_invivo_model_O2_supply_demand_MAP_results.R	oxygen/code/O2_supply_demand_MAP/vis/viz_invivo_model_O2_supply_demand_MAP_results.R	pure in-vivo visualization consumer	split-in-place
3	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/01_fixed_o2/FixO2_invivo.R	oxygen/code/O2_supply_demand_MAP/analysis/fixed_o2/run_fixed_o2_analysis.R	fixed-O2 table-only analysis with historical output default preserved by wrapper	deprecated-compatibility-wrapper
3	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/02_parameter_landscape_clustering/*.R	oxygen/code/O2_supply_demand_MAP/analysis/parameter_landscape_clustering/analyze_parameter_landscape.R	parameter reductions clustering and contribution tables	deprecated-compatibility-wrapper
3	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/fixed_o2_initial_ploidy_trajectory.R	oxygen/code/O2_supply_demand_MAP/analysis/dense_grid_monotonicity/analyze_dense_grid_tables.R	initial-condition delta and convergence analysis	deprecated-compatibility-wrapper
3	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/fixed_o2_ploidy_monotonicity.R	oxygen/code/O2_supply_demand_MAP/analysis/dense_grid_monotonicity/analyze_dense_grid_tables.R	pointwise and smoothed curve classification	deprecated-compatibility-wrapper
3	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/04_combine_parameter_landscape/calculate_regression_curve_average_slope.R	oxygen/code/O2_supply_demand_MAP/analysis/combined_parameter_landscape/prepare_combined_parameter_landscape_tables.R	seed-level regression-curve slope statistics	deprecated-compatibility-wrapper
3	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/04_combine_parameter_landscape/plot_pooled_embedding_curve_class.R	oxygen/code/O2_supply_demand_MAP/analysis/combined_parameter_landscape/prepare_combined_parameter_landscape_tables.R	curve-class and slope coordinate annotation	deprecated-compatibility-wrapper
3	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/05_FixO2_eigen_attractor_based_clustering/fixo2_eigen_attractor_clustering_runner.R	oxygen/code/O2_supply_demand_MAP/analysis/fixed_o2_eigen/analyze_fixo2_eigen_attractor_embeddings.R	fixed-O2 eigen embedding and cluster tables	deprecated-compatibility-wrapper
3	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/05_FixO2_eigen_attractor_based_clustering/fixo2_eigen_attractor_hpc_task.R	oxygen/code/O2_supply_demand_MAP/hpc/fixo2_eigen_attractor/fixo2_eigen_attractor_hpc_task.R	Slurm array R worker	migrated
3	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/compare_joint_sigma_soft_coupled_paired_seeds.R	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/analyze_joint_sigma_soft_coupled_paired_seeds.R	paired-sigma comparison tables	deprecated-compatibility-wrapper
3	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/compare_sigma_burden_extra_results.R	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/analyze_sigma_burden_extra_results.R	sigma-burden merged, count, and rank-flow tables	deprecated-compatibility-wrapper
3	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/extra_results.R	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/analyze_extra_results.R	objective, convergence, parameter-boundary, and seed-ranking tables	deprecated-compatibility-wrapper
3	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/select_invivo_best_long_ploidy_seed.R	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/select_invivo_best_long_ploidy_seed_from_metrics.R	threshold eligibility and objective-based seed selection	deprecated-compatibility-wrapper
3	oxygen/code/O2_supply_demand_MAP/analysis/fixed_o2/FixO2_invivo.R	oxygen/code/O2_supply_demand_MAP/analysis/fixed_o2/run_fixed_o2_analysis.R	materialized-table mode, regime, reliability, correlation, and agreement analysis	deprecated-compatibility-wrapper
3	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/build_multi_warmup_pairs_from_landscape_subclusters.R	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/build_multi_warmup_landscape_tables.R	landscape embedding clustering subclustering and pair tables	deprecated-compatibility-wrapper
3	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/build_multi_warmup_seed_plan.R	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/build_multi_warmup_seed_plan_tables.R	multi-warmup seed-plan coordinates clusters representatives and manifest	deprecated-compatibility-wrapper
3	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/collect_multi_warmup_results.R	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/collect_multi_warmup_tables.R	multi-warmup objective parameter basin and distance tables	deprecated-compatibility-wrapper
3	oxygen/code/O2_supply_demand_MAP/analysis/profile_likelihood/compare_sigma_burden_live_effective_pms.R	oxygen/code/O2_supply_demand_MAP/analysis/profile_likelihood/compare_sigma_burden_live_effective_pms.R	cross-seed live-effective p_ms statistical tables	split-in-place
3	oxygen/code/O2_supply_demand_MAP/analysis/profile_likelihood/compare_sigma_burden_live_effective_pms.R	oxygen/code/O2_supply_demand_MAP/runner/profile_likelihood/run_live_effective_pms_comparison.R	analysis-plus-visualization orchestration	split
3	oxygen/code/O2_supply_demand_MAP/analysis/profile_likelihood/compare_sigma_burden_live_effective_pms.R	oxygen/code/O2_supply_demand_MAP/vis/profile_likelihood/plot_sigma_burden_live_effective_pms.R	live-effective p_ms comparison figure	split
3	oxygen/code/O2_supply_demand_MAP/analysis/profile_likelihood/estimate_live_effective_pms.R	oxygen/code/O2_supply_demand_MAP/simulation/invivo/cin/generate_live_effective_pms_outputs.R	fitted-parameter live-cell effective p_ms simulation	deprecated-compatibility-wrapper
3	oxygen/code/O2_supply_demand_MAP/analysis/warm_up_joint_fitting_results_extra/run_warm_up_joint_fitting_results_extra_hpc.sh	oxygen/code/O2_supply_demand_MAP/hpc/warm_up_joint_fitting_results_extra/run_warm_up_joint_fitting_results_extra_hpc.sh	HPC execution wrapper	migrated
3	oxygen/code/O2_supply_demand_MAP/analysis/warm_up_joint_fitting_results_extra/submit_warm_up_joint_curve_array_hpc.sh	oxygen/code/O2_supply_demand_MAP/hpc/warm_up_joint_fitting_results_extra/submit_warm_up_joint_curve_array_hpc.sh	Slurm dependency submitter	migrated
3	oxygen/code/O2_supply_demand_MAP/analysis/warm_up_joint_fitting_results_extra/warm_up_joint_fitting_results_extra.R	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/analyze_warm_up_joint_results.R	warm-up joint prepare embedding and curve summary tables	deprecated-compatibility-wrapper
3	oxygen/code/O2_supply_demand_MAP/util/build_multi_warmup_pairs_from_landscape_subclusters.R	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/build_multi_warmup_pairs_from_landscape_subclusters.R	multi-warmup pair-selection analysis entrypoint	migrated
4	oxygen/code/O2_supply_demand_MAP/simulation/fix_o2_simulation.R	oxygen/code/O2_supply_demand_MAP/simulation/o2/fixed_o2/run_fixed_o2_simulation.R	fixed-O2 fitted-parameter simulation	compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/01_fixed_o2/FixO2_invivo.R	oxygen/code/O2_supply_demand_MAP/runner/fixed_o2/fixed_o2_pipeline_loader.R	historical best-fit-feature all-in-one orchestration compatibility	deprecated-compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/02_parameter_landscape_clustering/*runner.R	oxygen/code/O2_supply_demand_MAP/runner/parameter_landscape/run_parameter_landscape.R	parameter simulation analysis visualization and report orchestration	deprecated-compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/03_dense-grid_monotonicity_classification/dense_grid_monotonicity_array_backend.R	oxygen/code/O2_supply_demand_MAP/runner/dense_grid_monotonicity/run_dense_grid_monotonicity.R	local and HPC dense-grid orchestration	deprecated-compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/04_combine/*.R	oxygen/code/O2_supply_demand_MAP/runner/combined_parameter_landscape/run_combined_parameter_landscape.R	historical combined-workflow mirror orchestration	deprecated-compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/05_FixO2_eigen_attractor_based_clustering/*.R	oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_eigen_attractor_utils.R	shared fixed-O2 eigen CLI path seed table and reduction helpers	extracted
5	oxygen/code/O2_supply_demand_MAP/analysis/best_fit_parameter_feature/05_FixO2_eigen_attractor_based_clustering/fixo2_eigen_attractor_clustering_runner.R	oxygen/code/O2_supply_demand_MAP/runner/fixed_o2_eigen/run_fixo2_eigen_attractor_pipeline.R	fixed-O2 eigen simulation-analysis-visualization-report orchestration	deprecated-compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/analysis/dense-grid_monotonicity_classification/*.R	oxygen/code/O2_supply_demand_MAP/runner/dense_grid_monotonicity/run_dense_grid_monotonicity.R	historical dense-grid mirror compatibility	deprecated-compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/*.R	oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_fit_results_utils.R	shared fit-results CLI, TSV, manifest, and stage-process helpers	extracted
5	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/compare_joint_sigma_soft_coupled_paired_seeds.R	oxygen/code/O2_supply_demand_MAP/runner/fit_results/run_joint_sigma_soft_coupled_paired_seeds.R	paired-sigma analysis-visualization-report orchestration	deprecated-compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/compare_sigma_burden_extra_results.R	oxygen/code/O2_supply_demand_MAP/runner/fit_results/run_sigma_burden_extra_results.R	sigma-burden analysis-visualization orchestration	deprecated-compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/extra_results.R	oxygen/code/O2_supply_demand_MAP/runner/fit_results/run_extra_results.R	simulation-analysis-visualization-report orchestration	deprecated-compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/analysis/fit_results/select_invivo_best_long_ploidy_seed.R	oxygen/code/O2_supply_demand_MAP/runner/fit_results/select_invivo_best_long_ploidy_seed.R	long-ploidy simulation-analysis orchestration	deprecated-compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/analysis/fixed_o2/FixO2_invivo.R	oxygen/code/O2_supply_demand_MAP/runner/fixed_o2/fixed_o2_pipeline_loader.R	historical all-in-one orchestration compatibility	deprecated-compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/analysis/fixed_o2/FixO2_invivo.R	oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_fixed_o2_format_utils.R	shared fixed-O2 labels and analytical method slugs	extracted
5	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/*.R	oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_multi_warmup_utils.R	shared multi-warmup CLI path and table helpers	extracted
5	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/build_multi_warmup_pairs_from_landscape_subclusters.R	oxygen/code/O2_supply_demand_MAP/runner/multi_warmup/run_multi_warmup_landscape_pipeline.R	landscape analysis and visualization orchestration	deprecated-compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/build_multi_warmup_seed_plan.R	oxygen/code/O2_supply_demand_MAP/runner/multi_warmup/run_multi_warmup_seed_plan.R	seed-plan analysis and visualization orchestration	deprecated-compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/collect_multi_warmup_results.R	oxygen/code/O2_supply_demand_MAP/runner/multi_warmup/run_multi_warmup_results_pipeline.R	collection integrated-extra-results and visualization orchestration	deprecated-compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/analysis/multi_warmup/multi_warmup_results_report.R	oxygen/code/O2_supply_demand_MAP/runner/multi_warmup/render_multi_warmup_results.R	multi-warmup visualization and report orchestration	deprecated-compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/analysis/warm_start/make_joint_soft_coupling_parameters_table.R	oxygen/code/O2_supply_demand_MAP/runner/warm_start/make_joint_soft_coupling_parameters_table.R	joint fitting warm-start table construction	migrated
5	oxygen/code/O2_supply_demand_MAP/analysis/warm_start/make_warm_start_from_separate_fit_results.py	oxygen/code/O2_supply_demand_MAP/runner/warm_start/make_warm_start_from_separate_fit_results.py	multi-version joint warm-start construction	migrated
5	oxygen/code/O2_supply_demand_MAP/analysis/warm_up_joint_fitting_results_extra/warm_up_joint_fitting_results_extra.R	oxygen/code/O2_supply_demand_MAP/runner/multi_warmup/run_warm_up_joint_results_pipeline.R	warm-up joint analysis curve visualization orchestration	deprecated-compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/hpc/util/write_run_provenance.sh	oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_shell_utils.sh	shared source-only shell command module-loading and run-provenance helpers	compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/simulation/fix_o2_simulation_shared_utils.R	oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_fixed_o2_utils.R	shared fixed-O2 parameter and model-loading helpers	compatibility-wrapper
5	oxygen/code/O2_supply_demand_MAP/simulation/invitro/util/invitro_functional_response_core_utils.R	oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_invitro_postfit_response_utils.R	shared in-vitro O2/ploidy response engine	migrated
5	oxygen/code/O2_supply_demand_MAP/simulation/invitro/util/invitro_simulation_io_utils.R	oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_invitro_postfit_io_utils.R	shared in-vitro post-fit payload and schema helpers	migrated
5	oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_joint_parameter_plot.R	oxygen/code/O2_supply_demand_MAP/util/o2_supply_demand_map_joint_parameter_utils.R	joint parameter comparison data helpers	compatibility-wrapper
