file	layer	kind	purpose	inputs	outputs	function_count	functions	tests	lines
analysis/best_fit_parameter_feature/04_combine_parameter_landscape/calculate_regression_curve_average_slope.R	analysis	R entrypoint	Deprecated compatibility loader; slope statistics live in analysis/combined_parameter_landscape.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-combined-fixo2-eigen-stage-split.R	19
analysis/best_fit_parameter_feature/04_combine_parameter_landscape/deprecated_forward.R	analysis	R library/module	Deprecated compatibility helper for the pre-stage-3 combined workflow.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	5	deprecated_combined_root, deprecated_combined_runner, deprecated_combined_analysis, deprecated_combined_exec, deprecated_combined_direct		22
analysis/best_fit_parameter_feature/04_combine_parameter_landscape/plot_pooled_embedding_curve_class.R	analysis	R entrypoint	Deprecated compatibility entrypoint; joins live in analysis and graphics live in vis.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			5
analysis/best_fit_parameter_feature/04_combine_parameter_landscape/render_pooled_embedding_curve_class_report.R	analysis	R entrypoint	Deprecated compatibility entrypoint; HTML assembly lives in report/combined_parameter_landscape.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			5
analysis/best_fit_parameter_feature/04_combine/plot_pooled_embedding_curve_class.R	analysis	R entrypoint	Deprecated compatibility mirror; the canonical workflow owns separate analysis and vis stages.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			6
analysis/best_fit_parameter_feature/05_FixO2_eigen_attractor_based_clustering/fixo2_eigen_attractor_clustering_runner.R	analysis	R entrypoint	Deprecated compatibility orchestrator.  The historical all-in-one entrypoint	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-multi-warmup-eigen-stage-split.R	23
analysis/best_fit_parameter_feature/05_FixO2_eigen_attractor_based_clustering/fixo2_eigen_attractor_feature_builder.R	analysis	R library/module	Deprecated compatibility wrapper.  Numerical feature production now lives	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-multi-warmup-eigen-stage-split.R	26
analysis/best_fit_parameter_feature/05_FixO2_eigen_attractor_based_clustering/fixo2_eigen_attractor_report.R	analysis	R library/module	Deprecated compatibility wrapper for the report-only canonical module.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-multi-warmup-eigen-stage-split.R, test-report-image-lightbox.R	18
analysis/best_fit_parameter_feature/06_combine_FixO2_eigen_attractor/calculate_regression_curve_average_slope.R	analysis	R library/module	Deprecated compatibility wrapper. Canonical analysis implementation:	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-combined-fixo2-eigen-stage-split.R	23
analysis/best_fit_parameter_feature/06_combine_FixO2_eigen_attractor/plot_fixo2_eigen_attractor_embedding_curve_class.R	analysis	R entrypoint	Deprecated compatibility orchestrator. It materializes analysis tables first,	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	1	main	test-combined-fixo2-eigen-stage-split.R	61
analysis/best_fit_parameter_feature/06_combine_FixO2_eigen_attractor/render_fixo2_eigen_attractor_embedding_curve_class_report.R	analysis	R library/module	Deprecated compatibility wrapper. Canonical report implementation:	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-combined-fixo2-eigen-stage-split.R, test-report-image-lightbox.R	26
analysis/best_fit_parameter_feature/runner.R	analysis	R library/module	Deprecated compatibility wrapper.  The canonical cross-workflow runner moved	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-docker-runtime-wrappers.R, test-multi-warmup-eigen-stage-split.R, test-stage5-util-consolidation.R	9
analysis/best_fit_parameter_feature/util/cli_utils.R	analysis	R library/module	Backward-compatible loader. Canonical implementation lives in workflow util/.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-stage5-util-consolidation.R	23
analysis/best_fit_parameter_feature/util/curve_classification_utils.R	analysis	R library/module	Backward-compatible loader. Canonical implementation lives in workflow util/.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-stage5-util-consolidation.R	23
analysis/best_fit_parameter_feature/util/fixed_o2_shared_utils.R	analysis	R library/module	Backward-compatible analysis loader for the canonical fixed-O2 utilities.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-stage5-util-consolidation.R	23
analysis/best_fit_parameter_feature/util/parameter_landscape_shared_utils.R	analysis	R library/module	Deprecated compatibility loader.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-stage5-util-consolidation.R	27
analysis/best_fit_parameter_feature/util/path_utils.R	analysis	R library/module	Backward-compatible loader. Canonical implementation lives in workflow util/.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-stage5-util-consolidation.R	23
analysis/best_fit_parameter_feature/util/report_utils.R	analysis	R library/module	Backward-compatible loader. Canonical implementation lives in workflow util/.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-fixed-o2-stage34-boundaries.R, test-report-image-lightbox.R, test-stage5-util-consolidation.R	23
analysis/best_fit_parameter_feature/util/table_io_utils.R	analysis	R library/module	Backward-compatible loader. Canonical implementation lives in workflow util/.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-stage5-util-consolidation.R	23
analysis/combined_fixo2_eigen/calculate_regression_curve_average_slope.R	analysis	R entrypoint	Canonical analysis consumer for the combined FixO2 eigen-attractor workflow.	materialized files or caller-supplied R objects	tables/data files	13	read_tsv, require_columns, seed_number_from_id, first_finite, safe_fraction, default_curve_table, default_by_seed_table, default_out_dir, default_output_file, summarize_seed_curve, compute_average_slope_table, write_average_slope_analysis, main	test-combined-fixo2-eigen-stage-split.R	241
analysis/combined_fixo2_eigen/prepare_fixo2_eigen_curve_class_tables.R	analysis	R entrypoint	Pure analysis consumer: annotate already-materialized FixO2 eigen-attractor	analysis tables/manifest	tables/data files	12	write_csv, find_latest_class_table, read_curve_class_map, read_average_slope_map, default_average_slope_table, original_png_path, discover_coordinate_tables, add_curve_class, add_average_slope, analyze_embedding, prepare_fixo2_eigen_curve_class_tables, main	test-combined-fixo2-eigen-stage-split.R	267
analysis/combined_parameter_landscape/prepare_combined_parameter_landscape_tables.R	analysis	R entrypoint	Implements Prepare combined parameter landscape tables	analysis tables/manifest	tables/data files	8	combined_first_finite, summarize_seed_curve, safe_fraction, compute_average_slope_table, write_average_slope_analysis, combined_annotation_maps, combined_annotate_coordinates, prepare_combined_parameter_landscape_tables	test-dense-combined-stage34-boundaries.R	124
analysis/dense_grid_monotonicity/analyze_dense_grid_tables.R	analysis	R entrypoint	Computes analysis tables for Analyze dense grid tables	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	1	dense_analysis_main	test-dense-combined-stage34-boundaries.R	17
analysis/dense_grid_monotonicity/dense_grid_analysis_utils.R	analysis	R library/module	Provides reusable functions for Dense grid analysis utils	simulation tables/manifest; analysis tables/manifest	tables/data files	15	dense_analysis_materialized_path, dense_classify_one_curve, dense_curve_reliability, dense_classify_attractor_curves, dense_curve_class_counts, dense_curve_summary, dense_representative_seeds, dense_objective_statistics, dense_write_analysis_table, dense_materialize_monotonicity_analysis, dense_initial_selected_table, dense_initial_delta, dense_initial_curve_classes, dense_initial_convergence, dense_materialize_initial_analysis	test-dense-combined-stage34-boundaries.R	247
analysis/dense-grid_monotonicity_classification/compare_1000D_10000D_report.R	analysis	R entrypoint	Deprecated compatibility entrypoint for layered report assembly.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			5
analysis/dense-grid_monotonicity_classification/compare_eigen_initial_ploidy_predictions.R	analysis	R entrypoint	Deprecated compatibility entrypoint for layered initial-ploidy postprocessing.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			5
analysis/dense-grid_monotonicity_classification/curve_classification_utils.R	analysis	R library/module	Deprecated compatibility loader; classification functions live in util.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0		test-stage5-util-consolidation.R	5
analysis/dense-grid_monotonicity_classification/dense_grid_monotonicity_array_backend.R	analysis	R entrypoint	Deprecated compatibility entrypoint; HPC numerical work now belongs to simulation/o2/dense_grid.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			5
analysis/dense-grid_monotonicity_classification/dense_grid_monotonicity_report.R	analysis	R entrypoint	Deprecated compatibility entrypoint for report assembly.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	1	write_dense_grid_monotonicity_report		7
analysis/dense-grid_monotonicity_classification/deprecated_forward.R	analysis	R library/module	Deprecated compatibility loader for the historical mirror directory.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			11
analysis/dense-grid_monotonicity_classification/fixed_o2_initial_ploidy_trajectory.R	analysis	R entrypoint	Deprecated compatibility entrypoint for initial-ploidy simulation and analysis.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	1	generate_outputs		7
analysis/dense-grid_monotonicity_classification/fixed_o2_ploidy_monotonicity_regression_classification.R	analysis	R entrypoint	Deprecated compatibility entrypoint for smooth curve statistics.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	0			7
analysis/dense-grid_monotonicity_classification/fixed_o2_ploidy_monotonicity.R	analysis	R entrypoint	Deprecated compatibility entrypoint for simulation plus curve analysis.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	1	generate_outputs		7
analysis/fit_diagnostics/run_invitro_fit_diagnostics.R	analysis	R entrypoint	Implements Run invitro fit diagnostics	simulation tables/manifest; analysis tables/manifest	tables/data files	5	read_optimizer_population, empty_diagnostic_tables, compute_diagnostic_tables, schema_for_tables, main	test-invitro-stage2-boundaries.R	203
analysis/fit_diagnostics/run_joint_parameter_diagnostics.R	analysis	R entrypoint	Implements Run joint parameter diagnostics	analysis tables/manifest	tables/data files	2	write_joint_analysis_tsv, main		127
analysis/fit_results/analyze_extra_results.R	analysis	R entrypoint	Computes analysis tables for Analyze extra results	best parameters; fit result; fit summary; parameter table; simulation tables/manifest; analysis tables/manifest	tables/data files	2	main, joint_order	test-fit-results-stage-split.R	194
analysis/fit_results/analyze_joint_sigma_soft_coupled_paired_seeds.R	analysis	R entrypoint	Computes analysis tables for Analyze joint sigma soft coupled paired seeds	fit result; fit summary; analysis tables/manifest	tables/data files	17	seed_order_key, format_sigma, read_metric_map_optional, resolve_default_results_dir, resolve_run_dirs, read_seed_soft_table, get_num, get_chr, get_bool, read_all_soft_tables, filter_complete_paired_seeds, sigma_levels_from_df, make_value_long, make_objective_long, build_two_sigma_contrast, ratio_safe, main	test-fit-results-stage-split.R	392
analysis/fit_results/analyze_sigma_burden_extra_results.R	analysis	R entrypoint	Computes analysis tables for Analyze sigma burden extra results	analysis tables/manifest	tables/data files	7	parse_sigma_caps, read_seed_summary_one, make_counts_table, cut_rank_bin_left, cut_rank_bin_right, build_sankey_flow_table, main	test-fit-results-stage-split.R	187
analysis/fit_results/collect_best_separate_fit_reports.py	analysis	Python entrypoint	Assembles a report from existing tables and figures for Collect best separate fit reports	fit result	in-memory values or layer-specific artifacts	0		test-fit-results-stage-split.R	9
analysis/fit_results/compare_joint_sigma_soft_coupled_paired_seeds.R	analysis	R entrypoint	DEPRECATED COMPATIBILITY ORCHESTRATOR.	fit result	in-memory values or layer-specific artifacts	0		test-fit-results-stage-split.R	14
analysis/fit_results/compare_sigma_burden_extra_results.R	analysis	R entrypoint	DEPRECATED COMPATIBILITY ORCHESTRATOR.	fit result	in-memory values or layer-specific artifacts	0		test-fit-results-stage-split.R	11
analysis/fit_results/extra_results_analysis_utils.R	analysis	R library/module	Provides reusable functions for Extra results analysis utils	best parameters; fit result; fit summary; parameter table	in-memory values or layer-specific artifacts	38	summary_metric_value, fit_mode_value, is_joint_fit_summary, is_invitro_fit_summary, filter_best_vals_for_output, seed_order_key, find_seed_dirs, read_metric_map, read_metric_map_optional, supplement_joint_invitro_metrics, supplement_deoptim_metrics_from_fit_result, transform_invitro_bound, convert_invitro_parameter_table, read_parameter_table_checked, find_parameter_table_for_seed, find_joint_invitro_parameter_table_for_seed, lookup_named_num, derive_prototype_value, derive_transformed_value, is_active_parameter, compute_boundary_metrics, build_parameter_long_table, build_seed_summary_record, bind_records, get_recommend_rank_col, get_top_ranked_seeds, get_unfiltered_forest_top_seeds, truthy_vector, has_nonmissing_text, deoptim_converged_flags, local_refinement_accepted_flags, supplement_optimizer_fields_from_refinement_csv, fit_label_for_summary, build_convergence_summary, build_convergence_venn_counts, prepare_invitro_summary_for_plot, prepare_joint_invitro_fit_summary_values, build_long_objective_table	test-fit-results-stage-split.R, test-invitro-deoptim-metadata.R	910
analysis/fit_results/extra_results_invitro_reference_report.R	analysis	R entrypoint	Reference-compatible in vitro extra-results HTML renderer restored from commit 873c929.	materialized files or caller-supplied R objects	report/HTML	49	escape_html, make_figure_spec, make_figure_spec_optional, with_figure_label, figure_display_label, build_prediction_figure_specs, read_report_run_mode, pred1000_top_seed_legend, build_invivo_figure_specs, build_invitro_figure_specs, build_joint_summary_figure_specs, build_joint_invivo_figure_specs, build_joint_invitro_figure_specs, build_joint_figure_chapters, build_figure_specs, infer_run_label, report_magick_available, report_gs_available, report_base64enc_available, file_to_data_uri, render_pdf_preview_png_gs, pdf_to_data_uri, figure_media_html, figure_pair_match, figure_pair_match_any_order, figure_half_width_placeholder, figure_layout_groups, blank_figure_block, read_table_optional, report_truthy, finite_or_na, first_nonempty, format_report_number, format_report_value, table_to_html, build_parameter_summary_table, report_deoptim_converged_flags, report_fit_label_for_summary, normalize_convergence_summary_columns, convergence_summary_legend, report_missing_summary_value, supplement_report_optimizer_fields, build_convergence_summary_table, convergence_venn_html, report_title_for_mode, joint_chapter_figure_blocks, build_report_html_joint, build_report_html, main		1432
analysis/fit_results/extra_results_invitro_reference.R	analysis	R entrypoint	Reference-compatible in vitro extra-results generator.	best parameters; fit result; fit summary; parameter table; configuration	tables/data files; figures; report/HTML	95	summary_flag_true, summary_flag_na, summary_metric_value, fit_mode_value, is_joint_fit_summary, is_invitro_fit_summary, filter_best_vals_for_output, seed_order_key, find_seed_dirs, read_metric_map, read_metric_map_optional, supplement_joint_invitro_metrics, bool_from_table_value, invitro_parameter_transform_map, transform_invitro_bound, convert_invitro_parameter_table, read_parameter_table_checked, find_parameter_table_for_seed, find_joint_invitro_parameter_table_for_seed, lookup_named_num, derive_prototype_value, derive_transformed_value, is_active_parameter, compute_boundary_metrics, build_parameter_long_table, build_seed_summary_record, bind_records, seed_prediction_path, read_1000day_ploidy_gate_metrics, get_recommend_rank_col, get_top_ranked_seeds, get_unfiltered_forest_top_seeds, truthy_vector, has_nonmissing_text, deoptim_converged_flags, local_refinement_accepted_flags, is_missing_summary_value, supplement_deoptim_metrics_from_fit_result, supplement_optimizer_fields_from_refinement_csv, fit_label_for_summary, build_convergence_summary, build_convergence_venn_counts, plot_convergence_venn, circle_df, plot_convergence_iteration_histogram, square_umap_limits, plot_top_seed_parameter_umap, joint_ratio_umap_output_paths, clear_joint_ratio_umap_outputs, boundary_axis_config, labels, plot_parameter_boundary_forest, plot_joint_soft_context_boundary_forest, make_context_df, plot_objective_vs_boundary_risk, plot_joint_objective_components, plot_joint_objective_tradeoff, plot_joint_soft_delta_magnitude, plot_joint_soft_penalty_ranking, plot_joint_soft_vivo_vitro_pairs, plot_invitro_objective_components, prepare_invitro_summary_for_plot, prepare_joint_invitro_fit_summary_values, plot_invitro_objective_component_distributions, blank_extra_diagnostic_plot, plot_invitro_optimization_diagnostics, derive_invitro_lineage_label, derive_invitro_lineage_passage_index, ensure_invitro_likelihood_columns, read_seed_likelihood_table, plot_invitro_likelihood_comparison, plot_invitro_best_fit_likelihood_comparison, read_seed_distribution_quantiles_table, read_seed_observed_kary_table, plot_invitro_distribution_quantiles_multiseed, mean_finite, read_prediction_tsv, first_existing_col, prediction_seed_day_mean, summarise_seed_prediction_ci, prediction_y_limits, plot_prediction_mean_ci, plot_ploidy_prediction_mean_ci_combined, plot_ploidy_seed_curves_by_cohort, cohort_file_tag, extract_total_burden, read_ploidy_seed_day_predictions, read_burden_seed_day_predictions, plot_burden_seed_curves_by_cohort, plot_burden_log_seed_mean_by_cohort, cleanup_stale_burden_component_outputs, plot_prediction_summaries, run_rscript_helper, main, joint_objective_order		4255
analysis/fit_results/extra_results_report.R	analysis	R entrypoint	DEPRECATED COMPATIBILITY WRAPPER. Report implementation moved to report/fit_results.	fit result	in-memory values or layer-specific artifacts	0		test-fit-results-stage-split.R, test-report-image-lightbox.R, test-stage5-util-consolidation.R	11
analysis/fit_results/extra_results.R	analysis	R entrypoint	DEPRECATED COMPATIBILITY ORCHESTRATOR.	fit result	in-memory values or layer-specific artifacts	0		test-fit-results-stage-split.R	13
analysis/fit_results/plot_extra_results_objective_violin_invitro_reference.R	analysis	R entrypoint	Reference-compatible helper restored from commit 873c929.	materialized files or caller-supplied R objects	tables/data files; figures	2	build_long_objective_table, main		156
analysis/fit_results/plot_extra_results_objective_violin.R	analysis	R entrypoint	DEPRECATED COMPATIBILITY WRAPPER. Visualization moved to vis/fit_results.	fit result	in-memory values or layer-specific artifacts	0		test-fit-results-stage-split.R	11
analysis/fit_results/select_best_seed_from_summary.R	analysis	R library/module	Computes analysis tables for Select best seed from summary	best parameters; fit result	tables/data files	5	split_csv, seed_number, seed_dir_for, choose_objective, main	test-fit-results-stage-split.R	129
analysis/fit_results/select_invivo_best_long_ploidy_seed_from_metrics.R	analysis	R entrypoint	Computes analysis tables for Select invivo best long ploidy seed from metrics	fit result; simulation tables/manifest; analysis tables/manifest	tables/data files	1	main	test-fit-results-stage-split.R	52
analysis/fit_results/select_invivo_best_long_ploidy_seed.R	analysis	R entrypoint	DEPRECATED COMPATIBILITY ORCHESTRATOR.	fit result	in-memory values or layer-specific artifacts	0		test-fit-results-stage-split.R	11
analysis/fixed_o2_eigen/analyze_fixo2_eigen_attractor_embeddings.R	analysis	R library/module	Table-only fixed-O2 eigen-attractor embedding and clustering analysis.	analysis tables/manifest	in-memory values or layer-specific artifacts	15	fixo2ea_wide_path, fixo2ea_read_wide, fixo2ea_feature_columns_from_tables, fixo2ea_metadata, fixo2ea_scale_features, fixo2ea_run_embedding, fixo2ea_silhouette_mean, fixo2ea_cluster_assignments, fixo2ea_reduction_dirs, fixo2ea_coordinate_cluster_label, fixo2ea_write_cluster_tables, fixo2ea_run_reduction_block, fixo2ea_run_dataset_reductions, fixo2ea_run_pooled_reductions, fixo2ea_run_all_reductions	test-multi-warmup-eigen-stage-split.R	344
analysis/fixed_o2/fixed_o2_analysis_utils.R	analysis	R library/module	Pure fixed-O2 analysis helpers.	materialized files or caller-supplied R objects	tables/data files	34	fixo2_mode_panel_names, fixo2_mode_colors, fixo2_mode_labels_from_regime, fixo2_mode_reference_o2, fixo2_mode_fields, fixo2_apply_reference_modes, fo2_load_optional_seed_metadata, fo2_wilcox_row, fo2_attractor_regime_tests, fo2_attractor_regime_summary, fo2_parameter_correlations, fo2_mode_seed_stack_table, fo2_write_mode_comparison_tables, fo2_finite_quantile, fo2_finite_median, fo2_finite_mean, fo2_spectral_gap_by_seed, fo2_spectral_gap_summary, fo2_ploidy_gap_reliability_composite_table, fo2_ploidy_gap_reliability_violin_table, cf2_crossing_time, cf2_summarize_trajectory, cf2_wilcox_row, cf2_regime_summary, cf2_regime_tests, cf2_parameter_correlations, fixo2_select_best_objective_seed_by_mode, fixo2_manual_simulation_seed_table, aggregate_replicates, merge_scatter_data, augment_comparison_data, bland_altman_stats, fixo2_add_agreement_limits, fixo2_agreement_bland_altman_summary	test-fixed-o2-stage34-boundaries.R, test-stage5-util-consolidation.R	916
analysis/fixed_o2/FixO2_invivo.R	analysis	R entrypoint	Deprecated compatibility orchestrator.	materialized files or caller-supplied R objects	in-memory values or layer-specific artifacts	1	fixo2_main	test-fixed-o2-stage34-boundaries.R, test-stage5-util-consolidation.R	62
analysis/fixed_o2/run_fixed_o2_analysis.R	analysis	R entrypoint	Table-only fixed-O2 analyses. All numerical trajectories, attractors, and	simulation tables/manifest; analysis tables/manifest	tables/data files	8	fixo2_analysis_usage, fixo2_analysis_parts, fixo2_analysis_find_input, fixo2_analysis_validate_columns, fixo2_analysis_attractors, fixo2_analysis_counterfactual, fixo2_analysis_agreement, fixo2_analysis_main	test-fixed-o2-stage34-boundaries.R, test-stage5-util-consolidation.R	378
analysis/interactions/analyze_factorial_interactions.R	analysis	R entrypoint	Derive factorial endpoint tables from pre-existing simulation trajectories.	simulation tables/manifest; analysis tables/manifest	tables/data files	2	make_factorial_endpoint_summary, run_factorial_interaction_analysis	test-perturbation-stage-split.R	92
analysis/joint_fixed_o2_ploidy_classification/analyze_joint_fixed_o2_ploidy_classes.R	analysis	R entrypoint	Consume existing dense fixed-O2 steady-state curves and their established	materialized files or caller-supplied R objects	tables/data files	6	curve_class_levels, write_tsv_gz, group_median, normalized_entropy_k, required_arg, analyze_joint_fixed_o2	test-joint-fixed-o2-ploidy-classification.R	293
analysis/joint_ploidy_coupling_association/analyze_between_pair_ploidy_coupling.R	analysis	R entrypoint	Pair-balanced synthesis of CatA/B/C parameter associations across joint-fit	materialized files or caller-supplied R objects	tables/data files	2	analyze_between_pair_ploidy_coupling, main		69
analysis/joint_ploidy_coupling_association/analyze_ploidy_ratio_class_association.R	analysis	R entrypoint	CatA/B/C x ClassA/B/C association analysis with pair-stratified permutation,	materialized files or caller-supplied R objects	tables/data files	5	contingency_details, stratified_permutation_p, metric_effect, analyze_ploidy_ratio_class_association, main		240
